age,geographic_location,marital_status,number_of_dependents,occupation,employment_type,monthly_income,job_stability,total_debt,credit_score,savings_investments,monthly_fixed_expenses,monthly_variable_expenses,saving_goals_short_long_term,investment_preferences,risk_tolerance,financial_priorities,use_of_financial_management_tools,payment_history,experiences_with_financial_advising,label
62,Rural,Divorced,1,Self-Employed,Full-Time,8105.004370631873,16,10472.354021956946,779,10474.29195810072,822.8490030696879,312.59768799599595,21323.305561603658,Real Estate,Low,Retirement,False,Poor,True,Invest in Stocks
65,Urban,Single,1,Self-Employed,Part-Time,4959.493100983138,25,29055.150304356233,762,15530.839367935057,1603.1442893250926,598.1357292073277,5647.409882528065,Bonds,Low,Save for House,False,Good,True,Increase Savings
18,Urban,Married,4,Employed,Contract,8046.173292262545,28,46053.944088166056,649,629.5286141942797,2128.1178518157944,1153.3770880596692,35301.1656387136,Stocks,Medium,Save for House,True,Average,False,Invest in Stocks
21,Rural,Single,3,Self-Employed,Contract,8017.519343861406,5,13732.483458581723,415,11754.729757689864,1258.0615155903533,889.8849279200598,9257.150653504355,Real Estate,Medium,Retirement,True,Good,False,Increase Savings
21,Rural,Married,1,Employed,Full-Time,4100.3294478919925,23,20367.698483065986,331,8036.907199796242,1373.7590735961983,1083.6009210969787,14897.938126048397,Stocks,High,Healthcare,True,Average,True,Increase Savings
57,Urban,Single,2,Retired,Full-Time,4904.101292901529,15,49845.396162727004,403,11844.629780412472,1552.9804885282829,1113.7243711007247,21070.792571384773,Cryptocurrency,Medium,Education,False,Poor,False,Reduce Expenses
27,Urban,Married,0,Student,Full-Time,4271.498383636994,22,14402.4753052604,674,0.0,1473.5911706242648,808.6218362482366,24127.77953137007,None,High,Education,True,Good,True,Invest in Stocks
37,Rural,Married,0,Employed,Contract,4664.687669713857,1,22115.550973228263,717,783.4447205754386,1256.1290911241058,597.7876562671711,23816.25623142206,Stocks,Medium,Education,True,Poor,True,Invest in Stocks
39,Rural,Divorced,2,Student,Intern,7304.865595963453,11,5872.767883849903,329,16031.767658554003,2591.984089826036,746.5104790929831,11250.1355782954,None,Low,Healthcare,False,Good,False,Invest in Stocks
68,Rural,Married,2,Student,Part-Time,4589.691868592381,6,9457.481056501038,719,21607.57607277731,2262.451887247646,1520.3776827045936,17412.823608465602,Stocks,Low,Retirement,True,Average,True,Reduce Expenses
54,Urban,Divorced,2,Retired,Full-Time,8348.70856719587,6,0.0,628,2881.5104972606778,1661.1354963316971,1222.311968302543,15669.57019815554,Real Estate,Medium,Retirement,True,Average,True,Invest in Stocks
41,Suburban,Single,3,Employed,Intern,6846.732454288527,17,63878.74376105978,555,7834.640430026478,1297.8566877086607,955.6186397587364,24084.424299896993,Bonds,Medium,Retirement,True,Poor,False,Reduce Expenses
24,Rural,Single,1,Self-Employed,Intern,3805.806594217629,28,28576.279868158468,665,13410.20855636185,2029.9814327874335,1048.0318638035164,14494.21745866119,None,Low,Healthcare,True,Poor,True,Reduce Expenses
42,Suburban,Single,2,Self-Employed,Intern,3434.850861100186,11,19311.866761949455,462,4372.11447057886,1826.5235187497155,549.1261606997538,5186.36169944444,Stocks,Medium,Save for House,True,Good,False,Invest in Stocks
42,Suburban,Single,4,Employed,Part-Time,5568.398530117022,20,4144.035627897572,502,7030.681255768766,664.0132292321714,648.5385226213086,0.0,Bonds,Medium,Education,False,Good,False,Increase Savings
30,Urban,Single,0,Employed,Contract,4441.256293813397,12,0.0,746,9876.103737344973,1725.239768685247,781.4015412990746,21166.782807409458,Bonds,Low,Retirement,True,Good,False,Increase Savings
19,Urban,Divorced,0,Student,Intern,5966.476437757804,4,23626.074324388068,544,18677.29729151504,1023.834208043075,896.3534837684261,21033.512087096977,None,High,Save for House,True,Good,False,Reduce Expenses
56,Suburban,Single,2,Student,Part-Time,1593.3760935407076,8,17822.722713273844,522,4430.327751188234,1469.88728218656,514.9143563508455,17058.71623110983,Cryptocurrency,Medium,Healthcare,False,Average,True,Invest in Stocks
57,Urban,Married,1,Unemployed,Full-Time,2363.7014628007696,15,27529.88995786202,599,6616.096277116134,1897.621022787714,826.1659532659232,23355.709198644658,Real Estate,High,Healthcare,True,Poor,False,Reduce Expenses
41,Rural,Widowed,2,Student,Intern,2631.4574913183874,5,30384.93261622957,782,17884.393480936218,948.348053232542,782.8700278558442,39735.25671865463,Bonds,Medium,Healthcare,True,Average,True,Increase Savings
64,Rural,Divorced,4,Employed,Full-Time,6951.986603889562,28,35184.12564135611,455,0.0,1329.5388388750969,319.02699881988343,16736.257795406356,None,Low,Travel,False,Average,False,Invest in Stocks
42,Suburban,Married,2,Unemployed,Full-Time,1690.1122542691683,19,19367.34330925166,555,18190.66855617187,1459.7933158252138,1395.6569931232198,8923.635880577838,Cryptocurrency,Low,Healthcare,False,Good,True,Increase Savings
35,Suburban,Widowed,3,Student,Contract,7160.818455245318,15,29330.15697144038,709,10077.083096122393,2226.4809208360716,567.035008479721,20193.147021873472,Real Estate,Medium,Save for House,True,Average,False,Increase Savings
55,Rural,Widowed,2,Self-Employed,Contract,3520.436187802134,19,13886.95807697136,664,7463.1221356631395,1357.8379347545995,40.146286315179395,28784.699010043354,Cryptocurrency,Medium,Travel,True,Poor,True,Reduce Expenses
43,Rural,Divorced,3,Student,Intern,4463.9744086173805,2,7228.30402077914,738,15893.64403284376,1782.4851836545504,1121.09394676391,27719.985755850645,Real Estate,Low,Save for House,True,Good,True,Invest in Stocks
31,Suburban,Married,1,Student,Contract,3747.755513979948,20,14927.250968746856,714,23383.992717183326,1687.4957142541637,983.4498262936592,20842.33503339202,None,Medium,Travel,False,Poor,True,Invest in Stocks
26,Rural,Widowed,1,Student,Part-Time,7000.7062505913345,24,31534.51610693883,731,11721.25417470801,504.47186995180937,741.3081858287733,2022.7606935233343,Bonds,Medium,Education,False,Poor,True,Increase Savings
27,Urban,Widowed,4,Student,Intern,8288.631197599656,12,29097.465027941493,525,12274.095807218862,1341.5303633282733,692.8761435709673,16750.70362576058,Real Estate,High,Retirement,False,Good,False,Invest in Stocks
38,Urban,Divorced,1,Retired,Intern,4679.162143421328,13,19810.80286498739,803,4216.04088959384,1415.7972511371806,719.4423204623479,6620.012219162003,Cryptocurrency,Medium,Retirement,False,Poor,False,Reduce Expenses
69,Suburban,Single,3,Employed,Full-Time,2983.134996758953,19,24836.415843066356,754,0.0,1653.453588282664,1310.7310259300953,5103.735794413389,Stocks,Medium,Healthcare,False,Good,True,Reduce Expenses
34,Urban,Widowed,1,Unemployed,Intern,6993.494083583901,1,44112.62513765108,549,872.4252304535057,1161.6597956101682,730.7520112866686,32514.48555777693,Real Estate,Low,Travel,False,Good,True,Reduce Expenses
69,Suburban,Divorced,3,Employed,Contract,2115.9881835634324,6,0.0,774,3555.1932174029325,1839.5295278689973,342.5894506490339,4543.576602739155,Cryptocurrency,High,Save for House,False,Good,True,Reduce Expenses
23,Urban,Divorced,4,Student,Intern,5757.000648756417,28,1173.9815531419772,845,11620.914358640843,1205.507788152454,653.7712011135944,11598.515532875248,Real Estate,Low,Retirement,False,Good,False,Increase Savings
33,Urban,Married,3,Self-Employed,Contract,3357.301191316027,16,19804.493608835353,768,11146.039126194926,2284.2257201630446,956.37454192009,11163.32526292065,Stocks,High,Save for House,False,Good,False,Invest in Stocks
